央视,#genre#
CCTV1综合,http://113.98.11.46:3000/608807420
CCTV1综合,http://45.192.97.170:8880/play/1.m3u8
CCTV1综合,http://121.29.157.193:7788/608807420
CCTV1综合,http://219.140.5.55:1234/608807420
CCTV1综合,http://116.147.111.62:7788/608807420
CCTV1综合,http://223.83.177.142:1234/608807420
CCTV2财经,http://113.98.11.46:3000/631780532
CCTV2财经,http://121.29.157.193:7788/631780532
CCTV2财经,http://219.140.5.55:1234/631780532
CCTV2财经,http://116.147.111.62:7788/631780532
CCTV2财经,http://223.83.177.142:1234/631780532
CCTV3综艺,http://113.98.11.46:3000/624878271
CCTV3综艺,http://121.29.157.193:7788/624878271
CCTV3综艺,http://219.140.5.55:1234/624878271
CCTV3综艺,http://116.147.111.62:7788/624878271
CCTV3综艺,http://223.83.177.142:1234/624878271
CCTV4中文国际,http://113.98.11.46:3000/631780421
CCTV4中文国际,http://121.29.157.193:7788/631780421
CCTV4中文国际,http://219.140.5.55:1234/631780421
CCTV4中文国际,http://116.147.111.62:7788/631780421
CCTV4中文国际,http://223.83.177.142:1234/631780421
CCTV5体育,http://113.98.11.46:3000/641886683
CCTV5体育,http://121.29.157.193:7788/641886683
CCTV5体育,http://219.140.5.55:1234/641886683
CCTV5体育,http://116.147.111.62:7788/641886683
CCTV5体育,http://223.83.177.142:1234/641886683
CCTV5+体育赛事,http://113.98.11.46:3000/641886773
CCTV5+体育赛事,http://121.29.157.193:7788/641886773
CCTV5+体育赛事,http://219.140.5.55:1234/641886773
CCTV5+体育赛事,http://116.147.111.62:7788/641886773
CCTV5+体育赛事,http://223.83.177.142:1234/641886773
CCTV6电影,http://113.98.11.46:3000/624878396
CCTV6电影,http://121.29.157.193:7788/624878396
CCTV6电影,http://219.140.5.55:1234/624878396
CCTV6电影,http://116.147.111.62:7788/624878396
CCTV6电影,http://223.83.177.142:1234/624878396
CCTV7国防军事,http://113.98.11.46:3000/673168121
CCTV7国防军事,http://121.29.157.193:7788/673168121
CCTV7国防军事,http://219.140.5.55:1234/673168121
CCTV7国防军事,http://116.147.111.62:7788/673168121
